gene	CNT
GENE.299	238
GENE.52668	268
GENE.39958	5114
GENE.37376	320
GENE.57756	506
GENE.82190	550
GENE.73400	44
GENE.75337	8290
GENE.42348	468
GENE.33189	2538
GENE.46953	974
GENE.74316	114
GENE.16822	90
GENE.52353	1858
GENE.6782	556
GENE.62949	24
GENE.44751	50
GENE.12022	18
GENE.39330	478
GENE.59475	2174
GENE.7566	216
GENE.85707	160
GENE.26707	340
GENE.37934	14698
GENE.30094	338
GENE.71522	824
GENE.1740	588
GENE.2595	156
GENE.62205	726
GENE.56515	2604
GENE.20125	1254
GENE.49763	290
GENE.5282	18130
GENE.33270	582
GENE.41267	2322
GENE.9098	6386
GENE.82904	2100
GENE.62976	1650
GENE.67470	230
GENE.15414	2420
GENE.13665	172
GENE.17697	4272
GENE.65683	276
GENE.49876	768
GENE.15817	1114
GENE.12726	300
GENE.68529	1628
GENE.7841	158
GENE.79402	1602
GENE.12067	1624
GENE.30147	1030
GENE.36396	2914
GENE.51629	1000
GENE.52862	1916
GENE.33505	182
GENE.6282	124
GENE.33952	12
GENE.10399	248
GENE.14695	2300
GENE.81263	3150
GENE.53145	20302
GENE.44915	602
GENE.30799	590
GENE.55574	2102
GENE.32287	1010
GENE.24663	1142
GENE.48511	14076
GENE.34201	530
GENE.76783	702
GENE.51907	2898
GENE.52605	4266
GENE.22256	1920
GENE.69279	42
GENE.71339	444
GENE.46668	290
GENE.25325	620
GENE.50447	822
GENE.38744	94
GENE.28662	1650
GENE.65080	82
GENE.72131	564
GENE.41248	1966
GENE.78983	786
GENE.65076	1386
GENE.11574	922
GENE.10460	1704
GENE.49380	2238
GENE.86962	218
GENE.5233	346
GENE.9913	1722
GENE.9795	2258
GENE.49831	1730
GENE.3846	1182
GENE.14801	2850
GENE.57466	1224
GENE.57633	70
GENE.6039	850
GENE.61530	470
GENE.35278	482
GENE.43537	9570
GENE.1499	1336
GENE.84820	4720
GENE.66499	234
GENE.64043	286
GENE.78438	346
GENE.78738	494
GENE.3636	1246
GENE.5839	96
GENE.5878	906
GENE.75795	444
GENE.36629	1362
GENE.77082	1804
GENE.57426	92
GENE.41386	3678
GENE.51890	218
GENE.61299	102
GENE.14174	1908
GENE.59179	4132
GENE.52901	640
GENE.54977	3514
GENE.36535	336
GENE.33364	4114
GENE.382	1596
GENE.37096	1902
GENE.44503	1168
GENE.49180	562
GENE.39587	706
GENE.1302	912
GENE.40400	1238
GENE.13613	40
GENE.42190	1122
GENE.44465	18
GENE.52944	170
GENE.79987	622
GENE.82410	210
GENE.28085	974
GENE.76330	122
GENE.19563	40
GENE.40550	516
GENE.10335	576
GENE.12815	578
GENE.60916	204
GENE.9214	452
GENE.11985	796
GENE.80031	6660
GENE.58300	562
GENE.76390	3300
GENE.11411	1628
GENE.49255	620
GENE.64449	636
GENE.73227	2812
GENE.63623	468
GENE.85034	716
GENE.20596	208
GENE.36507	11968
GENE.80959	326
GENE.57375	64
GENE.62688	312
GENE.14905	716
GENE.16056	4704
GENE.80411	412
GENE.53826	320
GENE.49303	126
GENE.64002	220
GENE.76574	314
GENE.11902	1202
GENE.78635	246
GENE.30665	2730
GENE.71048	2196
GENE.33008	1812
GENE.63003	3764
GENE.54928	166
GENE.84359	894
GENE.32899	308
GENE.30828	794
GENE.72611	2816
GENE.36601	1322
GENE.30275	526
GENE.17641	326
GENE.3976	506
GENE.29318	216
GENE.58335	2274
GENE.85377	1038
GENE.48983	3546
GENE.67051	256
GENE.7175	16
GENE.20974	142
GENE.51171	642
GENE.32483	15548
GENE.73348	210
GENE.46982	166
GENE.26280	1370
GENE.72069	4918
GENE.12390	214
GENE.57611	198
GENE.32587	50
GENE.5290	110
GENE.35651	2510
GENE.24794	702
GENE.46371	18582
GENE.54827	358
GENE.61514	15168
GENE.37070	34
GENE.64664	1832
GENE.28049	732
GENE.53388	338
GENE.16241	1966
GENE.74812	2520
GENE.63398	1010
GENE.18285	496
GENE.70790	7752
GENE.81104	16974
GENE.58819	342
GENE.17298	1026
GENE.37585	774
GENE.40963	270
GENE.74666	534
GENE.39326	934
GENE.16819	280
GENE.11033	822
GENE.10975	20
GENE.26341	228
GENE.42138	198
GENE.16985	228
GENE.55013	6768
GENE.61403	32
GENE.12264	558
GENE.23460	1524
GENE.44554	242
GENE.33329	2160
GENE.86161	80
GENE.65763	546
GENE.8137	5218
GENE.84920	980
GENE.76043	1542
GENE.62433	142
GENE.1792	4202
GENE.38252	7898
GENE.78117	442
GENE.42666	296
GENE.73920	4384
GENE.58299	6
GENE.79161	108
GENE.11652	682
GENE.61292	572
GENE.11355	2468
GENE.11752	308
GENE.85305	438
GENE.19235	2228
GENE.30637	204
GENE.19382	572
GENE.21892	196
GENE.27150	1652
GENE.7104	204
GENE.36635	352
GENE.69133	426
GENE.31194	562
GENE.87130	5892
GENE.57198	384
GENE.76528	1832
GENE.64908	1740
GENE.78469	5790
GENE.43487	1202
GENE.33116	2676
GENE.30283	3758
GENE.15925	1308
GENE.83155	248
GENE.61188	470
GENE.15466	548
GENE.61833	5422
GENE.30251	1098
GENE.78613	100
GENE.75466	666
GENE.79816	6054
GENE.23930	14738
GENE.84793	2174
GENE.34626	344
GENE.57253	3382
GENE.75803	24
GENE.35632	198
GENE.84817	570
GENE.58962	722
GENE.46282	1244
GENE.26222	1544
GENE.34826	3672
GENE.63999	364
GENE.71873	2156
GENE.67185	76
GENE.61696	484
GENE.46351	824
GENE.82211	2788
GENE.65448	1478
GENE.971	5624
GENE.51958	4738
GENE.20514	574
GENE.61638	3882
GENE.56279	1244
GENE.58544	5776
GENE.55330	2458
GENE.52156	242
GENE.83323	340
GENE.5189	1392
GENE.49604	1658
GENE.14551	862
GENE.66217	2622
GENE.81539	238
GENE.11094	846
GENE.8443	844
GENE.44304	16126
GENE.86187	234
GENE.50572	1424
GENE.59887	220
GENE.18669	1408
GENE.38386	204
GENE.40557	130
GENE.68854	662
GENE.47345	220
GENE.75035	406
GENE.19520	16
GENE.80190	610
GENE.2367	368
GENE.57619	5376
GENE.54532	462
GENE.80391	1252
GENE.52236	1798
GENE.62062	2254
GENE.32161	6918
GENE.79356	260
GENE.7748	768
GENE.55161	350
GENE.75931	230
GENE.15827	3680
GENE.6769	1118
GENE.65188	982
GENE.49399	11676
GENE.6256	1536
GENE.24688	192
GENE.36129	542
GENE.66566	5224
GENE.12078	316
GENE.57013	486
GENE.82914	576
GENE.25722	7082
GENE.31559	504
GENE.26881	58
