gene	CNT
GENE.85019	23206
GENE.51531	68
GENE.77926	3704
GENE.49903	35538
GENE.6671	2156
GENE.28332	16628
GENE.4514	4634
GENE.45484	8380
GENE.49740	43594
GENE.74040	3246
GENE.49295	11302
GENE.5277	2322
GENE.37709	8292
GENE.2078	1516
GENE.299	5264
GENE.52668	1852
GENE.39958	85666
GENE.37376	1806
GENE.57756	2554
GENE.82190	7736
GENE.73400	314
GENE.75337	204966
GENE.42348	2406
GENE.33189	50640
GENE.46953	19414
GENE.74316	694
GENE.16822	438
GENE.6782	3604
GENE.52353	28664
GENE.62949	124
GENE.44751	348
GENE.12022	176
GENE.39330	9324
GENE.59475	41226
GENE.7566	1418
GENE.85707	4116
GENE.26707	2146
GENE.37934	424478
GENE.30094	5586
GENE.1740	3564
GENE.71522	5202
GENE.2595	3248
GENE.62205	4594
GENE.56515	15300
GENE.49763	9154
GENE.20125	7002
GENE.5282	504440
GENE.41267	36962
GENE.33270	3706
GENE.9098	124182
GENE.82904	50970
GENE.62976	40362
GENE.67470	1252
GENE.15414	39018
GENE.13665	1178
GENE.17697	126324
GENE.65683	1830
GENE.49876	12064
GENE.15817	7378
GENE.12726	4950
GENE.68529	20208
GENE.7841	1414
GENE.79402	40300
GENE.12067	27590
GENE.30147	9180
GENE.36396	49122
GENE.51629	6832
GENE.52862	23196
GENE.33505	456
GENE.6282	2586
GENE.33952	116
GENE.10399	1416
GENE.14695	47550
GENE.81263	50728
GENE.53145	439870
GENE.44915	4044
GENE.30799	3810
GENE.55574	19812
GENE.24663	6500
GENE.32287	19658
GENE.48511	337864
GENE.34201	644
GENE.76783	13352
GENE.51907	60412
GENE.52605	89562
GENE.22256	24176
GENE.69279	626
GENE.46668	2004
GENE.71339	5028
GENE.50447	4954
GENE.25325	4004
GENE.38744	474
GENE.28662	35742
GENE.65080	582
GENE.72131	3146
GENE.41248	10312
GENE.78983	12120
GENE.65076	13780
GENE.11574	21176
GENE.49380	22724
GENE.10460	42036
GENE.86962	3874
GENE.3846	6690
GENE.9913	8974
GENE.9795	12282
GENE.5233	6898
GENE.49831	11284
GENE.14801	85612
GENE.57466	18804
GENE.57633	314
GENE.6039	19112
GENE.61530	2914
GENE.35278	3368
GENE.43537	202076
GENE.1499	32980
GENE.84820	30168
GENE.66499	1396
GENE.64043	1366
GENE.78438	2092
GENE.78738	3178
GENE.3636	12426
GENE.5839	2652
GENE.5878	21680
GENE.75795	2634
GENE.77082	35714
GENE.36629	27972
GENE.57426	606
GENE.41386	79968
GENE.51890	136
GENE.61299	1060
GENE.14174	30628
GENE.59179	82754
GENE.52901	4228
GENE.54977	104012
GENE.33364	22044
GENE.36535	8386
GENE.382	10452
GENE.44503	23480
GENE.37096	41666
GENE.49180	3310
GENE.1302	13492
GENE.40400	11548
GENE.39587	4314
GENE.13613	214
GENE.42190	27210
GENE.44465	118
GENE.52944	1168
GENE.79987	15602
GENE.82410	1730
GENE.28085	19174
GENE.76330	796
GENE.40550	2646
GENE.19563	318
GENE.12815	3694
GENE.10335	3630
GENE.60916	1532
GENE.9214	4308
GENE.58300	2782
GENE.11985	12248
GENE.80031	156698
GENE.11411	44204
GENE.76390	84966
GENE.49255	3564
GENE.64449	4002
GENE.73227	24842
GENE.63623	2912
GENE.85034	17760
GENE.20596	1430
GENE.36507	331004
GENE.80959	1588
GENE.57375	306
GENE.14905	13316
GENE.62688	6900
GENE.16056	103686
GENE.80411	2394
GENE.53826	1894
GENE.49303	2296
GENE.64002	1596
GENE.76574	2124
GENE.11902	25712
GENE.78635	1484
GENE.30665	55192
GENE.71048	11942
GENE.33008	17206
GENE.63003	109026
GENE.54928	3794
GENE.84359	10726
GENE.30828	4316
GENE.32899	1282
GENE.36601	7060
GENE.72611	63282
GENE.30275	2532
GENE.17641	6634
GENE.3976	3182
GENE.29318	1380
GENE.58335	57000
GENE.85377	21350
GENE.48983	89900
GENE.67051	6570
GENE.7175	204
GENE.20974	706
GENE.32483	447756
GENE.51171	11598
GENE.73348	1034
GENE.46982	904
GENE.26280	39136
GENE.72069	83062
GENE.12390	2842
GENE.32587	328
GENE.57611	1074
GENE.5290	944
GENE.35651	60016
GENE.24794	14968
GENE.46371	575492
GENE.54827	544
GENE.61514	386398
GENE.37070	142
GENE.64664	9290
GENE.28049	4704
GENE.16241	18142
GENE.53388	1822
GENE.74812	49988
GENE.63398	13290
GENE.18285	2540
GENE.81104	436572
GENE.70790	168754
GENE.58819	6252
GENE.17298	6240
GENE.37585	3824
GENE.40963	1912
GENE.74666	12412
GENE.39326	6256
GENE.16819	4076
GENE.11033	4452
GENE.10975	176
GENE.26341	652
GENE.42138	3242
GENE.16985	1326
GENE.55013	185448
GENE.61403	8
GENE.12264	2932
GENE.23460	8206
GENE.44554	1392
GENE.33329	31036
GENE.86161	616
GENE.65763	3198
GENE.8137	96436
GENE.84920	5294
GENE.62433	1824
GENE.76043	31536
GENE.1792	81232
GENE.38252	195122
GENE.78117	9308
GENE.42666	1508
GENE.73920	111828
GENE.58299	38
GENE.79161	814
GENE.11652	4448
GENE.61292	3354
GENE.11355	30788
GENE.11752	1834
GENE.85305	2522
GENE.19235	58014
GENE.30637	1068
GENE.19382	3504
GENE.27150	30412
GENE.21892	1102
GENE.69133	2402
GENE.7104	1380
GENE.31194	3506
GENE.36635	5164
GENE.87130	139986
GENE.57198	8806
GENE.76528	43170
GENE.64908	36342
GENE.78469	79500
GENE.43487	15332
GENE.33116	14248
GENE.30283	77580
GENE.15925	23466
GENE.83155	1384
GENE.61188	2546
GENE.15466	3834
GENE.30251	6008
GENE.61833	100922
GENE.78613	608
GENE.75466	14038
GENE.79816	131152
GENE.23930	326860
GENE.84793	46620
GENE.34626	1982
GENE.57253	84560
GENE.75803	548
GENE.35632	1276
GENE.84817	5708
GENE.58962	4054
GENE.46282	30572
GENE.26222	38924
GENE.34826	73402
GENE.63999	4880
GENE.71873	36362
GENE.67185	528
GENE.46351	7392
GENE.61696	3660
GENE.82211	67372
GENE.65448	27600
GENE.51958	67050
GENE.971	108916
GENE.20514	16412
GENE.61638	65292
GENE.56279	12020
GENE.58544	115408
GENE.55330	68688
GENE.52156	1038
GENE.83323	1780
GENE.5189	34498
GENE.49604	36778
GENE.14551	5674
GENE.66217	62182
GENE.81539	1826
GENE.11094	10022
GENE.8443	7240
GENE.44304	333412
GENE.59887	472
GENE.86187	1366
GENE.50572	26934
GENE.38386	1644
GENE.18669	23332
GENE.40557	562
GENE.47345	788
GENE.68854	15358
GENE.75035	8014
GENE.19520	22
GENE.80190	10018
GENE.2367	4806
GENE.57619	112628
GENE.54532	1016
GENE.80391	20128
GENE.52236	33198
GENE.62062	51142
GENE.32161	205504
GENE.79356	1902
GENE.7748	5104
GENE.75931	1414
GENE.55161	1832
GENE.15827	89512
GENE.6769	6888
GENE.65188	6274
GENE.49399	295522
GENE.6256	41296
GENE.24688	4446
GENE.36129	3350
GENE.66566	126428
GENE.12078	1682
GENE.57013	2468
GENE.82914	14394
GENE.25722	204704
GENE.31559	3332
GENE.26881	408
GENE.54295	4572
GENE.71149	30882
GENE.33778	2392
GENE.55046	124
GENE.83940	96062
GENE.23014	69110
GENE.661	4192
GENE.67768	4606
GENE.44852	1816
GENE.2047	256
GENE.17926	37960
GENE.32596	42444
GENE.39241	3360
GENE.29675	92046
GENE.8322	4118
GENE.17912	137842
GENE.34390	700
GENE.20917	3858
GENE.81593	48356
GENE.11282	4380
GENE.3498	3686
GENE.13866	6724
GENE.31848	12000
GENE.45364	118288
GENE.69503	23504
GENE.70049	3958
GENE.84620	4156
GENE.76378	1084
GENE.64821	3178
GENE.39010	8530
GENE.27457	4978
GENE.43274	6384
GENE.82822	3784
GENE.85523	8020
GENE.22605	2820
GENE.61659	546940
GENE.40685	15442
GENE.24606	9386
GENE.10177	1184
GENE.550	57746
GENE.38655	454
GENE.85987	3716
GENE.84006	202216
GENE.43447	3824
GENE.45926	36928
GENE.78518	4268
GENE.80698	1966
GENE.14664	48632
GENE.83100	157754
GENE.2143	5856
GENE.68569	14882
GENE.52522	306658
GENE.36727	46000
GENE.32312	256
GENE.9764	8
GENE.13129	1292
GENE.15840	19604
GENE.7237	1414
GENE.28312	24
GENE.36084	628
GENE.53773	458
GENE.38349	1298
GENE.15385	4194
GENE.40565	149614
GENE.65247	5504
GENE.83705	44934
GENE.18485	62738
GENE.87389	6454
GENE.12684	56208
GENE.31954	324642
GENE.48243	5090
GENE.26814	41954
GENE.63748	106192
GENE.68278	40778
GENE.77930	1586
GENE.87009	22862
GENE.21192	6742
GENE.50589	245716
GENE.32055	16948
GENE.29659	15074
GENE.3596	1530
GENE.78840	18126
GENE.6966	8526
GENE.83784	9218
GENE.59556	3766
GENE.5238	246
GENE.39376	3952
GENE.79737	107330
GENE.34199	7672
GENE.8505	50864
