gene	CNT
GENE.85019	23254
GENE.51531	86
GENE.77926	3612
GENE.49903	35650
GENE.6671	2098
GENE.28332	16636
GENE.4514	4530
GENE.45484	8388
GENE.49740	43026
GENE.74040	3182
GENE.49295	11550
GENE.5277	2724
GENE.2078	1448
GENE.37709	8444
GENE.299	4830
GENE.52668	1810
GENE.39958	85192
GENE.37376	1912
GENE.57756	2736
GENE.82190	7714
GENE.73400	330
GENE.75337	204186
GENE.42348	2554
GENE.33189	50576
GENE.46953	19978
GENE.74316	712
GENE.16822	450
GENE.6782	3542
GENE.52353	28444
GENE.62949	160
GENE.44751	316
GENE.12022	112
GENE.39330	9540
GENE.59475	41396
GENE.7566	1336
GENE.85707	4156
GENE.26707	2256
GENE.37934	425616
GENE.30094	5584
GENE.71522	5126
GENE.1740	3690
GENE.2595	3282
GENE.62205	4718
GENE.56515	15458
GENE.49763	9274
GENE.20125	6912
GENE.5282	504650
GENE.33270	3864
GENE.41267	37438
GENE.9098	124074
GENE.82904	50858
GENE.62976	40804
GENE.67470	1156
GENE.15414	38636
GENE.13665	1070
GENE.17697	126184
GENE.65683	1874
GENE.49876	12000
GENE.15817	7226
GENE.12726	4998
GENE.68529	20474
GENE.7841	1412
GENE.79402	40342
GENE.12067	27234
GENE.30147	9196
GENE.36396	48306
GENE.51629	7014
GENE.52862	23168
GENE.33505	460
GENE.6282	2472
GENE.33952	112
GENE.10399	1486
GENE.81263	50756
GENE.14695	47282
GENE.53145	437574
GENE.44915	3978
GENE.55574	19786
GENE.30799	3920
GENE.24663	6674
GENE.32287	19514
GENE.48511	337274
GENE.34201	696
GENE.76783	13144
GENE.51907	60138
GENE.52605	90534
GENE.22256	24404
GENE.46668	1926
GENE.71339	4906
GENE.69279	590
GENE.50447	5016
GENE.25325	4064
GENE.38744	508
GENE.28662	35098
GENE.65080	548
GENE.72131	3164
GENE.41248	10274
GENE.78983	12372
GENE.65076	13596
GENE.11574	21094
GENE.49380	22952
GENE.10460	41978
GENE.86962	3968
GENE.3846	6486
GENE.9795	12520
GENE.49831	11226
GENE.9913	8962
GENE.5233	7334
GENE.14801	85902
GENE.57466	19268
GENE.57633	296
GENE.6039	19046
GENE.61530	2858
GENE.35278	3364
GENE.43537	203312
GENE.1499	32816
GENE.84820	29922
GENE.66499	1388
GENE.64043	1510
GENE.78438	1996
GENE.78738	3222
GENE.3636	12086
GENE.5839	2624
GENE.5878	21562
GENE.75795	2646
GENE.36629	27510
GENE.77082	36116
GENE.57426	634
GENE.41386	80316
GENE.51890	162
