gene	CNT
GENE.85019	23154
GENE.51531	22
GENE.77926	3360
GENE.49903	36854
GENE.28332	15642
GENE.6671	1942
GENE.4514	4328
GENE.49740	41712
GENE.45484	7982
GENE.74040	2746
GENE.49295	11344
GENE.5277	2250
GENE.2078	1298
GENE.37709	8014
GENE.299	5290
GENE.52668	1574
GENE.39958	81542
GENE.37376	1546
GENE.57756	2470
GENE.82190	7224
GENE.73400	244
GENE.75337	206594
GENE.42348	2264
GENE.33189	49814
GENE.46953	19574
GENE.74316	662
GENE.16822	396
GENE.52353	27484
GENE.6782	3196
GENE.62949	146
GENE.44751	284
GENE.12022	94
GENE.39330	9094
GENE.59475	40008
GENE.7566	1316
GENE.85707	4328
GENE.26707	2046
GENE.37934	441106
GENE.30094	5470
GENE.71522	4442
GENE.1740	3366
GENE.2595	3216
GENE.62205	4380
GENE.56515	14060
GENE.49763	9514
GENE.20125	6232
GENE.5282	520970
GENE.33270	3428
GENE.9098	120430
GENE.41267	36074
GENE.62976	41056
GENE.82904	51236
GENE.67470	1086
GENE.15414	37260
GENE.13665	974
GENE.17697	131274
GENE.65683	1534
GENE.49876	11760
GENE.15817	6676
GENE.12726	4766
GENE.68529	19020
GENE.7841	1278
GENE.79402	41704
GENE.12067	26472
GENE.30147	8302
GENE.36396	46184
GENE.51629	6076
GENE.52862	21798
GENE.33505	312
GENE.6282	2556
GENE.33952	112
GENE.10399	1280
GENE.81263	48574
GENE.14695	45652
GENE.53145	437596
GENE.44915	3440
GENE.30799	3348
GENE.55574	18254
GENE.24663	5806
GENE.32287	19152
GENE.48511	339554
GENE.34201	318
GENE.51907	59200
GENE.76783	12870
GENE.52605	88874
GENE.22256	22470
GENE.46668	1658
GENE.71339	4726
GENE.69279	588
GENE.25325	3774
GENE.50447	4620
GENE.38744	422
GENE.28662	34486
GENE.65080	540
GENE.72131	2654
GENE.41248	9680
GENE.78983	11674
GENE.65076	12616
GENE.11574	21198
GENE.10460	42374
GENE.49380	21336
GENE.3846	5682
GENE.9913	8404
GENE.86962	3832
GENE.9795	11776
GENE.49831	10044
GENE.5233	7182
GENE.14801	89162
GENE.57466	17968
GENE.57633	276
GENE.6039	18550
GENE.61530	2652
GENE.35278	3012
GENE.43537	200842
GENE.1499	33284
GENE.84820	26844
GENE.66499	1174
GENE.64043	1378
GENE.78438	1896
GENE.78738	2944
GENE.3636	11176
GENE.5839	2636
GENE.5878	21274
GENE.75795	2380
GENE.77082	36230
GENE.36629	27966
GENE.57426	572
GENE.41386	80222
GENE.51890	38
GENE.61299	992
GENE.14174	28454
GENE.59179	81154
GENE.52901	3858
GENE.54977	109064
GENE.33364	20448
GENE.36535	8518
GENE.382	9328
GENE.37096	41756
GENE.44503	22332
GENE.49180	3036
GENE.39587	3834
GENE.1302	12618
GENE.40400	10560
GENE.13613	264
GENE.42190	27178
GENE.44465	76
GENE.52944	996
GENE.79987	15720
GENE.82410	1702
GENE.28085	19070
GENE.76330	698
GENE.19563	328
GENE.40550	2062
GENE.12815	3346
GENE.10335	3364
GENE.60916	1362
GENE.9214	3946
GENE.58300	2232
GENE.11985	12062
GENE.80031	156294
GENE.11411	45378
GENE.76390	87146
GENE.49255	3354
GENE.64449	3524
GENE.73227	22954
GENE.63623	2810
GENE.85034	18004
GENE.20596	1390
GENE.36507	339076
GENE.80959	1436
GENE.57375	282
GENE.62688	6836
GENE.14905	13728
GENE.16056	103094
GENE.80411	2240
GENE.53826	1764
GENE.49303	2184
GENE.64002	1398
GENE.76574	1790
